id lang ,id marker,language,ISO,glottocode,geneological information,latitude,longitude,short link,pages,source,marking,strategy,productivity,collective,distributive,intRAoccasional,intERoccasional,number value
107,,Lower Grand Valley Dani,dni,lowe1415,Trans New Guinea: Dani,-4.25684,138.992,Bromley 1981,NA,"Bromley, Myron H. 1981. A Grammar of Lower Grand Valley Dani. (Pacific Linguistics: Series C, 63.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
108,105,Western Dani,dnw,west2594,Trans New Guinea: Dani,-3.77127,138.217,Barclay 2008,307-315,"Barclay, Peter. 2008. A Grammar of Western Dani. (LINCOM Grammar Handbooks, 01.) München: Lincom. (Also as 2004 Towards a Grammar of Western Dani, PhD from Monash U.)","suffix -kak and its allomorphs, usually followed by an auxiliary",affixation,NC,---,---,"repeated, multidirectional","iterative, standard habitual",>1
109,,Nggem,nbq,ngge1241,Trans New Guinea: Dani,-3.62735,139.011,Etherington 2002,NA,"Etherington, Paul Anthony. 2002. Nggem Morphology and Syntax. Darwin: Northern Territory University MA thesis.",NA,,,,,,,
110,,Wano,wno,wano1243,Trans New Guinea: Dani,-3.47858,137.678,Burung 2017,NA,"Burung, Willem. 2017. A grammar of Wano. Oxford: University of Oxford dissertation.",NA,,,,,,,
111,,East Kewa,kjs,east2516,Trans New Guinea: Enga-Kewa-Huli,-6.32989,143.931,Yarapea 2013,NA,"Yarapea, Apoi Mason. 2013. The Kewapi language of Papua New Guinea. Port Moresby: Papua New Guinea University Press.",NA,,,,,,,
112,,West Kewa,kew,west2599,Trans New Guinea: Enga-Kewa-Huli,-6.32097,143.73,Franklin 1971,NA,"Franklin, Karl J. 1971. A grammar of Kewa, New Guinea. (Pacific Linguistics: Series C, 16.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
113,,Lembena,leq,lemb1266,Trans New Guinea: Enga-Kewa-Huli,-4.99504,143.891,Heineman 1998,NA,"Heineman, Paul. 1998. A grammar of Lembena. Ms.",NA,,,,,,,
114,,Rawa,rwo,rawa1267,Trans New Guinea: Finisterre-Huon,-5.83155,145.937,Toland & Toland 1991,NA,"Toland, Norma & Donald Toland. 1991. Reference grammar of the Karo/Rawa language. (Data Papers on Papua New Guinea Languages, 38.) Ukarumpa: Summer Institute of Linguistics.",NA,,,,,,,
115,,Nukna,klt,nukn1238,Trans New Guinea: Finisterre-Huon,-6.0177,146.969,Taylor 2015,NA,"Taylor, Matthew A. 2015. Nukna Grammar Sketch. (Data Papers on Papua New Guinea Languages, 61.) Data Papers on Papua New Guinea Languages. Ukarumpa: Summer Institute of Linguistics.",NA,,,,,,,
116,106,Nankina,nnk,nank1250,Trans New Guinea: Finisterre-Huon,-5.80804,146.464,Spaulding & Spaulding 1994,"144, 41-43","Spaulding, Craig & Pat Spaulding. 1994. Phonology and Grammar of Nankina. (Data Papers on Papua New Guinea Languages, 41.) Ukarumpa, Papua New Guinea: Unpublished Typescript, The Summer Institute of Linguistics.",suffix pɅη-,affixation,restricted,P,P,---,---,>1
117,,Nabak,naf,naba1256,Trans New Guinea: Finisterre-Huon,-6.42709,146.966,Fabian et al. 1998,NA,"Fabian, Grace, Edmund Fabian & Bruce Waters. 1998. Morphology, Syntax and Cohesion in Nabak, Papua New Guinea. (Pacific Linguistics: Series C, 144.) Pacific Linguistics. Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
118,,Kulungtfu-Yuanggeng-Tobo,kgf,kube1244,Trans New Guinea: Finisterre-Huon,-6.42586,147.536,Lee 2014 [1993],NA,"Lee, Yongseop. 2014 [1993]. Kube grammar essentials. Ms.",NA,,,,,,,
119,,Selepet,spl,sele1250,Trans New Guinea: Finisterre-Huon,-6.03532,147.234,McElhanon 1970,NA,"McElhanon, Kenneth A. 1970. The Selepet language within the Finisterre-Huon phylum (New Guinea). Canberra: Australian National University dissertation.",NA,,,,,,,
120,107,Ma Manda,skc,sauk1252,Trans New Guinea: Finisterre-Huon,-6.31958,146.759,Pennington 2018,"332-333, 417-419","Pennington, Ryan. 2018. A grammar of Ma Manda: A Papuan language of Morobe Province, Papua New Guinea. (Outstanding grammars from Australia, 18.) München: LINCOM.","stem alternation, initial t/f alternation",irregular stem alternation,16 verbs,P,P ,---,---,>1
121,108,Awara,awx,awar1248,Trans New Guinea: Finisterre-Huon,-6.16986,146.372,Quigley & Quigley 2011,164-165,"Quigley, Edward C. & Susan R. Quigley. 2011. The phonology and verbal system of Awara, a Papuan language of the Finisterre Range, Papua New Guinea. (Pacific Linguistics, 629.) Canberra: Pacific Linguistics, School of Culture, History and Language, College of Asia and the Pacific, Australian National University.",prefixes p- / ya-,affixation,7 verbs,P,P ,---,---,>1
122,109,Yau-Nungon,yuw,yaum1237,Trans New Guinea: Finisterre-Huon,-6.08274,146.841,Sarvasy 2017,250,"Sarvasy, Hannah S. 2017. A Grammar of Nungon: A Papuan Language of Northeast New Guinea. Leiden: Brill.",prefix h-,affixation,restricted,P,P ,---,---,>1
123,,Komba,kpf,komb1273,Trans New Guinea: Finisterre-Huon,-6.16163,147.28,Southwell 1979,NA,"Southwell, Neville. 1979. Komba grammar sketch. Ms.",NA,,,,,,,
124,,Iyo,nca,iyoo1238,Trans New Guinea: Finisterre-Huon,-5.84161,146.092,Minter 2009,NA,"Minter, Paul. 2009. Iyo Grammar Sketch. (Data Papers on Papua New Guinea Languages, 56.) Ukarumpa, Papua New Guinea: SIL-PNG Academic Publications.",NA,,,,,,,
125,110,Suena,sue,suen1241,Trans New Guinea: Greater Binanderean,-7.76339,147.534,Wilson 1974,163-164,"Wilson, Darryl. 1974. Suena grammar. (Workpapers in Papua New Guinea Languages, 8.) Ukarumpa: Summer Institute of Linguistics.",partial reduplication,reduplication,NC,S/P,S/P ,---,---,>1
125,111,Suena,sue,suen1241,Trans New Guinea: Greater Binanderean,-7.76339,147.534,Wilson 1974,167-168,"Wilson, Darryl. 1974. Suena grammar. (Workpapers in Papua New Guinea Languages, 8.) Ukarumpa: Summer Institute of Linguistics.",full reduplication,reduplication,NC,---,---,repetitive,---,NC
126,112,Baruga,bjz,baru1269,Trans New Guinea: Greater Binanderean,-9.40132,148.761,Farr et al. 1996,10-11,"Farr, Cynthia J. M., Bomi Terrence Furoke & James Buyers Farr. 1996. Tafota Baruga Grammar Notes. Ms.","reduplication, suffixation, stem alternation",regular stem alternation,productive,S/A,S/A ,---,---,>2
127,,Fore,for,fore1270,Trans New Guinea: Kainantu-Goroka,-6.64473,145.5065,Scott 1978,NA,"Scott, Graham. 1978. The Fore Language of Papua New Guinea. (Pacific Linguistics: Series B, 47.) Pacific Linguistics: Series B. Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
128,,Yagaria,ygr,yaga1260,Trans New Guinea: Kainantu-Goroka,-6.32432,145.388,Haiman 1980,NA,"Haiman, John. 1980. HUA: A Papuan Language of the Eastern Highlands of New Guinea. (Studies in Language: Companion Series, 5.) Amsterdam: John Benjamins. doi: 10.1075/slcs.5.",NA,,,,,,,
129,113,Kanite,kmu,kani1286,Trans New Guinea: Kainantu-Goroka,-6.38841,145.556,Gibson & McCarthy 2003,39,"Gibson, Gwen & Joy McCarthy. 2003. Kanite grammar sketch. unpublished.",suffix -te,affixation,NC,---,---,repeated?,iterative,NC
130,114,Awa,awb,awap1236,Trans New Guinea: Kainantu-Goroka,-6.65534,145.714,Loving & McKaughan 1973,49,"Loving, Richard & Howard McKaughan. 1973. Awa. In Howard McKaughan (ed.), The Languages of the Eastern Family of the East New Guinea Highland Stock (Anthropological Studies in the Eastern Highlands of New Guinea 1), 6-174. Seattle: University of Washington Press.",suffix -chq,affixation,NC,---,---,repeated?,iterative,NC
131,,Awiyaana,auy,awiy1238,Trans New Guinea: Kainantu-Goroka,-6.54079,145.76,Marks 1974,NA,"Marks, Doreen. 1974. Kosena grammar. SIL, Ukarumpa: Ms.",NA,,,,,,,
132,,Alekano,gah,alek1238,Trans New Guinea: Kainantu-Goroka,-6.03901,145.387,Deibler 2000,NA,"Deibler, Ellis W. 2000. How to speak Alekano. Ukarumpa: Summer Institute of Linguistics.",NA,,,,,,,
133,115,Waskia,wsk,wask1241,Trans New Guinea: Madang,-4.57978,145.979,Ross & Paol 1978,65-66,"Ross, Malcolm & John Natu Paol. 1978. A Waskia Grammar Sketch and Vocabulary. (Pacific Linguistics: Series B, 56.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",infix -ndi-,affixation,productive,P,P ,---,---,>1
134,116,Maia,sks,maia1254,Trans New Guinea: Madang,-4.50212,145.096,Hardin 2002,48,"Hardin, Barbara. 2002. Maia Grammar Essentials. Ms. (Unpublished manuscript. SIL archives, Ukarumpa, Papua New Guinea).",suffix -lava,affixation,NC,---,"S/P, resultative",---,,NC
134,117,Maia,sks,maia1254,Trans New Guinea: Madang,-4.50212,145.096,Hardin 2002,48-50,"Hardin, Barbara. 2002. Maia Grammar Essentials. Ms. (Unpublished manuscript. SIL archives, Ukarumpa, Papua New Guinea).","full reduplication, partial reduplication",reduplication,NC,---,P resultutive,"repetitive, repeated",---,NC
135,118,Mauwake,mhl,mauw1238,Trans New Guinea: Madang,-4.52416,145.394,Berghäll 2015,"140-141, 300-301","Berghäll, Liisa. 2015. A grammar of Mauwake. (Studies in Diversity Linguistics, 4.) Berlin: Language Science Press. doi: 10.17169/langsci.b67.96.",suffix -urum,affixation,productive,S/P/R/BEN total,S/P/R/BEN total,---,---,NC
135,119,Mauwake,mhl,mauw1238,Trans New Guinea: Madang,-4.52416,145.394,Berghäll 2015,"140-141, 300-301","Berghäll, Liisa. 2015. A grammar of Mauwake. (Studies in Diversity Linguistics, 4.) Berlin: Language Science Press. doi: 10.17169/langsci.b67.96.",suffix -omak,affixation,productive,S/P/R/BEN,S/P/R/BEN,---,---,NC
135,120,Mauwake,mhl,mauw1238,Trans New Guinea: Madang,-4.52416,145.394,Berghäll 2015,"142-143, 300-301","Berghäll, Liisa. 2015. A grammar of Mauwake. (Studies in Diversity Linguistics, 4.) Berlin: Language Science Press. doi: 10.17169/langsci.b67.96.",partial reduplication,reduplication,productive,---,"P, resultative",?,---,NC
136,121,Pamosu,hih,pamo1253,Trans New Guinea: Madang,-4.69874,145.288,Tupper 2012,"349-350, 415-423","Tupper, Ian. 2012. A grammar of Pamosu. LaTrobe University dissertation.",suffix -omand and its allomorphs,affixation,NC,---,"S/P, S/P spatial",---,---,NC
137,122,Usan,wnu,usan1239 ,Trans New Guinea: Madang,-4.84265,145.362,Reesink 1987,111-112,"Reesink, Ger P. 1987. Structures and their Functions in Usan: A Papuan Language of Papua New Guinea. (Studies in Language: Companion Series, 13.) Amsterdam: John Benjamins.",suffix -ri,affixation,productive,---,S/P,---,---,NC
138,123,Amele,aey,amel1241,Trans New Guinea: Madang,-5.29126,145.687,Roberts 2016,128,"Roberts, John R. 2016. Amele RRG Grammatical Sketch. SIL, International.",suffix -ad,affixation,productive,---,"S, diversative, cislocative",---,---,>2
138,124,Amele,aey,amel1241,Trans New Guinea: Madang,-5.29126,145.687,Roberts 2016,130,"Roberts, John R. 2016. Amele RRG Grammatical Sketch. SIL, International.",full reduplication,reduplication,NC,---,---,repeated,---,NC
138,125,Amele,aey,amel1241,Trans New Guinea: Madang,-5.29126,145.687,Roberts 2016,130,"Roberts, John R. 2016. Amele RRG Grammatical Sketch. SIL, International.",full reduplication + vowel change,regular stem alternation,NC,---,---,discontinuative,---,NC
139,,Girawa,bbr,gira1247,Trans New Guinea: Madang,-5.35342,145.423,Gasaway & Sims 1992,NA,"Gasaway, Eileen & Heather Sims. 1992. Girawa grammar. Ukarumpa: Summer Institute of Linguistics.",NA,,,,,,,
140,126,Kobon,kpw,kobo1249,Trans New Guinea: Madang,-5.16446,144.46,Davies 1981,172-174,"Davies, John. 1981. Kobon. (Lingua Descriptive Studies, 3.) Amsterdam: North-Holland.","full reduplication, sometimes also affixation",reduplication,NC,---,---,continuative,"iterative, characteristic habitual",NC
141,127,Anamuxra,imi,anam1248,Trans New Guinea: Madang,-4.63762,144.991,Ingram 2001,228,"Ingram, Andrew. 2001. Anamuxra: A Language of Madang Province, Papua New Guinea. University of Sydney dissertation.",suffix -ram(a),affixation,NC,---,P resultative,?,---,NC
142,,Manat,pmr,payn1244,Trans New Guinea: Madang,-4.94303,144.879,Daniels 2015,NA,"Daniels, Don. 2015. A Reconstruction of Proto-Sogeram: Phonology, Lexicon, and Morphosyntax. University of California at Santa Barbara doctoral dissertation.",NA,,,,,,,
143,128,Mand,ate,atem1241,Trans New Guinea: Madang,-5.08137,144.806,Daniels 2015,448-449,"Daniels, Don. 2015. A Reconstruction of Proto-Sogeram: Phonology, Lexicon, and Morphosyntax. University of California at Santa Barbara doctoral dissertation.",stem alternation,irregular stem alternation,5 verbs attested,S,S ,---,---,>1
144,,Aisi,mmq,musa1266,Trans New Guinea: Madang,-5.37407,145.197,Daniels 2015,NA,"Daniels, Don. 2015. A Reconstruction of Proto-Sogeram: Phonology, Lexicon, and Morphosyntax. University of California at Santa Barbara doctoral dissertation.",NA,,,,,,,
145,,Gants,gao,gant1244,Trans New Guinea: Madang,-5.28113,144.771,Daniels 2015,NA,"Daniels, Don. 2015. A Reconstruction of Proto-Sogeram: Phonology, Lexicon, and Morphosyntax. University of California at Santa Barbara doctoral dissertation.",NA,,,,,,,
146,,Kulsab,faj,fait1240,Trans New Guinea: Madang,-5.59947,145.298,Daniels 2015,NA,"Daniels, Don. 2015. A Reconstruction of Proto-Sogeram: Phonology, Lexicon, and Morphosyntax. University of California at Santa Barbara doctoral dissertation.",NA,,,,,,,
147,129,Sirva,sbq,sile1255,Trans New Guinea: Madang,-4.98243,145.225,Daniels 2015,670,"Daniels, Don. 2015. A Reconstruction of Proto-Sogeram: Phonology, Lexicon, and Morphosyntax. University of California at Santa Barbara doctoral dissertation.",suffix -vara,affixation,NC,P,P ,---,---,NC
148,130,Siroi,ssd,siro1249,Trans New Guinea: Madang,-5.52893,145.994,Wells 1979,29,"Wells, Margaret A. 1979. Siroi Grammar. (Pacific Linguistics: Series B, 51.) Pacific Linguistics: Series B. Canberra: Research School of Pacific and Asian Studies, Australian National University.",stem alternation,irregular stem alternation,restricted,P,P ,---,---,>1
148,131,Siroi,ssd,siro1249,Trans New Guinea: Madang,-5.52893,145.994,Wells 1979,36,"Wells, Margaret A. 1979. Siroi Grammar. (Pacific Linguistics: Series B, 51.) Pacific Linguistics: Series B. Canberra: Research School of Pacific and Asian Studies, Australian National University.",full reduplication,reduplication,NC,---,---,repetitive,---,NC
149,132,Kesawai,xes,kesa1244,Trans New Guinea: Madang,-5.76797,145.58,Priestley 2020,351-354,"Priestley, Carol. 2008. A grammar of Koromu (Kesawai), a Trans New Guinea language of Papua New Guinea. Australian National University dissertation.","full reduplication, partial reduplication",reduplication,NC,---,S/P total dispersive?,"repetitive, multidirectional",---,NC
150,133,Tauya,tya,tauy1241 ,Trans New Guinea: Madang,-5.74255,145.366,MacDonald 1990,11,"MacDonald, Lorna. 1990. A Grammar of Tauya. (Mouton Grammar Library, 6.) Berlin: Mouton de Gruyter. doi: 10.1515/9783110846027.",stem alternation,irregular stem alternation,2 verbs,S/P,S/P ,---,---,>1
151,134,Eipomek,eip,eipo1242,Trans New Guinea: Mek,-4.33691,140.045,Heeschen 1998,225,"Heeschen, Volker. 1998. An Ethnographic Grammar of the Eipo Language. (Mensch, Kultur und Umwelt im Zentralen Bergland von West-Neuguinea, 23.) Berlin: Dietrich Reimer.",-n- formation,regular stem alternation,NC,---,P ,"repetitive, spatial",usitative?,NC
152,,Una,mtg,unaa1239 ,Trans New Guinea: Mek,-4.69676,140.1,Louwerse 1988,NA,"Louwerse, John. 1988. The Morphosyntax of Una in Relation to Discourse Structure. (Pacific Linguistics: Series B, 100.) Canberra: Research School of Pacific and Asian Studies, Australian National University.",NA,,,,,,,
153,135,Auye,auu,auye1238,Trans New Guinea: Paniai Lakes,-3.43705,136.096,Moxness 2003,58-59,"Moxness, Michael E. 2003. Auye Grammar. Ms.",suffix -(yag)ii,affixation,NC,---,"S/P, ventive, resultative",---,---,NC
153,136,Auye,auu,auye1238,Trans New Guinea: Paniai Lakes,-3.43705,136.096,Moxness 2003,59,"Moxness, Michael E. 2003. Auye Grammar. Ms.",full reduplication,reduplication,NC,---,---,?,standard habitual,NC
153,137,Auye,auu,auye1238,Trans New Guinea: Paniai Lakes,-3.43705,136.096,Moxness 2003,59-60,"Moxness, Michael E. 2003. Auye Grammar. Ms.",suffix -ge(e),affixation,NC,---,---,---,standard habitual,NC
153,138,Auye,auu,auye1238,Trans New Guinea: Paniai Lakes,-3.43705,136.096,Moxness 2003,59-60,"Moxness, Michael E. 2003. Auye Grammar. Ms.",suffix -pege(e),affixation,NC,---,A ,---,,NC
153,139,Auye,auu,auye1238,Trans New Guinea: Paniai Lakes,-3.43705,136.096,Moxness 2003,60,"Moxness, Michael E. 2003. Auye Grammar. Ms.",suffix -na(a),affixation,NC,---,---,---,spatial?,NC
153,140,Auye,auu,auye1238,Trans New Guinea: Paniai Lakes,-3.43705,136.096,Moxness 2003,60,"Moxness, Michael E. 2003. Auye Grammar. Ms.",suffix -da(a),affixation,NC,---,S dispersive,---,---,NC
154,141,Tehit,kps,tehi1237,West Bird's Head,-1.51049,131.985,Flassy 1991,37-38,"Flassy, Don A. L. 1991. Grammar Sketch of Tehit, a Toror Language, the West Doberai Peninsula, New Guinea (Irian Jaya). Rijksuniversiteit te Leiden MA thesis.",vowel alternation,regular stem alternation,restricted,S/A,S/A ,---,---,>1
155,142,Kalamang,kgv,kara1499,West Bomberai,-3.47037,132.678,Visser 2022,264-267,"Visser, Eline. 2022. A grammar of Kalamang. (Comprehensive Grammar Library, 4.) In Visser, Eline (ed.) Berlin: Language Science Press. doi: 10.5281/zenodo.6499927.","full reduplication, partial reduplication",reduplication,NC,---,S ,repeated?,standard habitual,NC
155,143,Kalamang,kgv,kara1499,West Bomberai,-3.47037,132.678,Visser 2022,360,"Visser, Eline. 2022. A grammar of Kalamang. (Comprehensive Grammar Library, 4.) In Visser, Eline (ed.) Berlin: Language Science Press. doi: 10.5281/zenodo.6499927.",suffix -p,affixation,restricted,---,S ,---,---,NC
156,144,Yale,nce,yale1246,Yale,-3.79762,141.566,Aannestad et al. 2020,48-49,"Aannestad, Aidan, Carl Campbell & Jody Campbell. 2020. Towards a grammar of the Yale language: taking another look at archived field data. Ukarumpa: Unpublished Manuscript, Summer Institute of Linguistics.","full reduplication, partial reduplication",reduplication,NC,---,P ,?,---,NC (may be mass nouns)
156,145,Yale,nce,yale1246,Yale,-3.79762,141.566,Aannestad et al. 2020,50,"Aannestad, Aidan, Carl Campbell & Jody Campbell. 2020. Towards a grammar of the Yale language: taking another look at archived field data. Ukarumpa: Unpublished Manuscript, Summer Institute of Linguistics.",stem alternation,irregular stem alternation,2 verbs,P ?,P ?,---,---,NC
157,146,Ngkontar Ngkolmpu,kcd,ngka1235,Yam,-8.87044,140.818,Carroll 2017,247-277,"Carroll, Matthew. 2017. The Ngkolmpu Language with special reference to distributed exponence. Canberra: Australian National University dissertation.",extended stem + durative affixes,complex,restricted,S/P,S/P ,repeated?,"iterative, standard habitual",>2
158,,Nama,nmx,nama1266,Yam,-8.66403,141.706,Siegel 2023,NA,"Siegel, Jeff. 2023. A Grammar of Nama: A Papuan Language of Southern New Guinea. (Pacific Linguistics, 668.) Berlin: DeGruyter Mouton.",NA,,,,,,,
159,,Nen,nqn,nenn1238,Yam,-8.62183,142.032,Evans 2011,NA,"Evans, Nicholas. 2011. A draft grammar of Nen Zi. Ms.",NA,,,,,,,
160,147,Arammba,stk,aram1253,Yam,-8.29593,141.445,Boevé & Boevé 1999,19-20,"Boevé, Alma & Marco Boevé. 1999. Arammba grammar essentials. Ukarumpa: SIL Unpublished Ms.",stem alternation,irregular stem alternation,NC,S/A/P,S/A/P ,neutral?,iterative?,>2
161,148,Anta-Komnzo-Wára-Wérè-Kémä,tci,wara1294,Yam,-8.64917,141.52,Döhler 2016,300-303,"Döhler, Christian. 2016. Komnzo: A language of Southern New Guinea. Australian National University dissertation.",restricted stem + durative/imperfective affixes,complex,productive,---,---,---,standard habitual,NC
162,149,Ránmo,bfh,blaf1238,Yam,-8.56161,141.226,Lee 2016,,"Lee, Jenny. 2016. Pluractionality in Ranmo. Oceanic Linguistics. 55. 25-51. 10.1353/ol.2016.0005.","stem alternation, irregular affixation",irregular stem alternation,productive,S/P,S/P ,"repetitive, repeated",iterative,>1
163,150,Warta Thuntai ,gnt,gunt1241,Yam,-8.80806,141.253,Quinn 2014,41-48,"Quinn, Kyla. 2014. A description of the verbal morphology of Wartha Thuntai. Australian National University MA thesis.",suffix -oi,affixation,productive,S/A,S/A ,?,standard habitual,>2
164,,Yele,yle,yele1255,Yele,-11.3796,154.127,Levinson 2022,NA,"Levinson, Stephen C. 2022. A Grammar of Yélî Dnye: The Papuan Language of Rossel Island. (Pacific Linguistics, 666.) Berlin, Boston: Berlin: Mouton. doi: 10.1515/9783110733853.",NA,,,,,,,